1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
315: Wiseman4 couldn't take right fork, now waiting
316: Wiseman4 couldn't take right fork, now waiting
317: Wiseman4 couldn't take right fork, now waiting
318: Wiseman4 couldn't take right fork, now waiting
319: Wiseman4 couldn't take right fork, now waiting
320: Wiseman4 couldn't take right fork, now waiting
321: Wiseman4 couldn't take right fork, now waiting
322: Wiseman4 couldn't take right fork, now waiting
323: Wiseman4 couldn't take right fork, now waiting
324: Wiseman4 couldn't take right fork, now waiting
325: Wiseman4 couldn't take right fork, now waiting
326: Wiseman4 couldn't take right fork, now waiting
327: Wiseman4 couldn't take right fork, now waiting
328: Wiseman4 couldn't take right fork, now waiting
329: Wiseman4 couldn't take right fork, now waiting
330: Wiseman4 couldn't take right fork, now waiting
331: Wiseman4 couldn't take right fork, now waiting
332: Wiseman4 couldn't take right fork, now waiting
333: Wiseman4 couldn't take right fork, now waiting
334: Wiseman4 couldn't take right fork, now waiting
335: Wiseman4 couldn't take right fork, now waiting
336: Wiseman4 couldn't take right fork, now waiting
337: Wiseman4 couldn't take right fork, now waiting
338: Wiseman4 couldn't take right fork, now waiting
339: Wiseman4 couldn't take right fork, now waiting
340: Wiseman4 couldn't take right fork, now waiting
341: Wiseman4 couldn't take right fork, now waiting
342: Wiseman4 couldn't take right fork, now waiting
343: Wiseman4 couldn't take right fork, now waiting
344: Wiseman4 couldn't take right fork, now waiting
345: Wiseman4 couldn't take right fork, now waiting
346: Wiseman4 couldn't take right fork, now waiting
347: Wiseman4 couldn't take right fork, now waiting
348: Wiseman4 couldn't take right fork, now waiting
349: Wiseman4 couldn't take right fork, now waiting
350: Wiseman4 couldn't take right fork, now waiting
351: Wiseman4 couldn't take right fork, now waiting
352: Wiseman4 couldn't take right fork, now waiting
353: Wiseman4 couldn't take right fork, now waiting
354: Wiseman4 couldn't take right fork, now waiting
355: Wiseman4 couldn't take right fork, now waiting
356: Wiseman4 couldn't take right fork, now waiting
357: Wiseman4 couldn't take right fork, now waiting
358: Wiseman4 couldn't take right fork, now waiting
359: Wiseman4 couldn't take right fork, now waiting
360: Wiseman4 couldn't take right fork, now waiting
361: Wiseman4 couldn't take right fork, now waiting
362: Wiseman4 couldn't take right fork, now waiting
363: Wiseman4 couldn't take right fork, now waiting
364: Wiseman4 couldn't take right fork, now waiting
365: Wiseman4 couldn't take right fork, now waiting
366: Wiseman4 couldn't take right fork, now waiting
367: Wiseman4 couldn't take right fork, now waiting
368: Wiseman4 couldn't take right fork, now waiting
369: Wiseman4 couldn't take right fork, now waiting
370: Wiseman4 couldn't take right fork, now waiting
371: Wiseman4 couldn't take right fork, now waiting
372: Wiseman4 couldn't take right fork, now waiting
373: Wiseman4 couldn't take right fork, now waiting
374: Wiseman4 couldn't take right fork, now waiting
375: Wiseman4 couldn't take right fork, now waiting
376: Wiseman4 couldn't take right fork, now waiting
377: Wiseman4 couldn't take right fork, now waiting
378: Wiseman4 couldn't take right fork, now waiting
379: Wiseman4 couldn't take right fork, now waiting
380: Wiseman4 couldn't take right fork, now waiting
381: Wiseman4 couldn't take right fork, now waiting
382: Wiseman4 couldn't take right fork, now waiting
383: Wiseman4 couldn't take right fork, now waiting
384: Wiseman4 couldn't take right fork, now waiting
385: Wiseman4 couldn't take right fork, now waiting
386: Wiseman4 couldn't take right fork, now waiting
387: Wiseman4 couldn't take right fork, now waiting
388: Wiseman4 couldn't take right fork, now waiting
389: Wiseman4 couldn't take right fork, now waiting
390: Wiseman4 couldn't take right fork, now waiting
391: Wiseman4 couldn't take right fork, now waiting
392: Wiseman4 couldn't take right fork, now waiting
393: Wiseman4 couldn't take right fork, now waiting
394: Wiseman4 couldn't take right fork, now waiting
395: Wiseman4 couldn't take right fork, now waiting
396: Wiseman4 couldn't take right fork, now waiting
397: Wiseman4 couldn't take right fork, now waiting
398: Wiseman4 couldn't take right fork, now waiting
399: Wiseman4 couldn't take right fork, now waiting
400: Wiseman4 couldn't take right fork, now waiting
401: Wiseman4 couldn't take right fork, now waiting
402: Wiseman4 couldn't take right fork, now waiting
403: Wiseman4 couldn't take right fork, now waiting
404: Wiseman4 couldn't take right fork, now waiting
405: Wiseman4 couldn't take right fork, now waiting
406: Wiseman4 couldn't take right fork, now waiting
407: Wiseman4 couldn't take right fork, now waiting
408: Wiseman4 couldn't take right fork, now waiting
409: Wiseman4 couldn't take right fork, now waiting
410: Wiseman4 couldn't take right fork, now waiting
411: Wiseman4 couldn't take right fork, now waiting
412: Wiseman4 couldn't take right fork, now waiting
413: Wiseman4 couldn't take right fork, now waiting
414: Wiseman4 couldn't take right fork, now waiting
415: Wiseman4 couldn't take right fork, now waiting
416: Wiseman4 couldn't take right fork, now waiting
417: Wiseman4 couldn't take right fork, now waiting
418: Wiseman4 couldn't take right fork, now waiting
419: Wiseman4 couldn't take right fork, now waiting
420: Wiseman4 couldn't take right fork, now waiting
421: Wiseman4 couldn't take right fork, now waiting
422: Wiseman4 couldn't take right fork, now waiting
423: Wiseman4 couldn't take right fork, now waiting
424: Wiseman4 couldn't take right fork, now waiting
425: Wiseman4 couldn't take right fork, now waiting
426: Wiseman4 couldn't take right fork, now waiting
427: Wiseman4 couldn't take right fork, now waiting
428: Wiseman4 couldn't take right fork, now waiting
429: Wiseman4 couldn't take right fork, now waiting
430: Wiseman4 couldn't take right fork, now waiting
431: Wiseman4 couldn't take right fork, now waiting
432: Wiseman4 couldn't take right fork, now waiting
433: Wiseman4 couldn't take right fork, now waiting
434: Wiseman4 couldn't take right fork, now waiting
435: Wiseman4 couldn't take right fork, now waiting
436: Wiseman4 couldn't take right fork, now waiting
437: Wiseman4 couldn't take right fork, now waiting
438: Wiseman4 couldn't take right fork, now waiting
439: Wiseman4 couldn't take right fork, now waiting
440: Wiseman4 couldn't take right fork, now waiting
441: Wiseman4 couldn't take right fork, now waiting
442: Wiseman4 couldn't take right fork, now waiting
443: Wiseman4 couldn't take right fork, now waiting
444: Wiseman4 couldn't take right fork, now waiting
445: Wiseman4 couldn't take right fork, now waiting
446: Wiseman4 couldn't take right fork, now waiting
447: Wiseman4 couldn't take right fork, now waiting
448: Wiseman4 couldn't take right fork, now waiting
449: Wiseman4 couldn't take right fork, now waiting
450: Wiseman4 couldn't take right fork, now waiting
451: Wiseman4 couldn't take right fork, now waiting
452: Wiseman4 couldn't take right fork, now waiting
453: Wiseman4 couldn't take right fork, now waiting
